[      90ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:14336
[ 1969527ms] [ERROR] Received NaN for the `%s` attribute. If this is expected, cast the value to a string. y2 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1889
[ 1969527ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969527ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969532ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969532ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969533ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969533ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969543ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969543ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969553ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969553ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969563ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969563ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969573ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969573ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969583ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969583ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969593ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969593ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969603ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969603ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969614ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969614ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969623ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969623ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969633ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969633ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969643ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1969643ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
